Time,Cycle Count,Moved Bikes,Cumulative Moved Bikes,Trips Scheduled,Distance Moved,Cumulative Distance Moved,Rebalanced Bikes,Cumulative Rebalanced Bikes,Rebalanced Cost,Cumulative Rebalance Cost,Time Average Rebalance Cost,Lyapunov,Lyapunov Drift,Cumulative Lyapunov,Time Average Conditional Drift,Demand Supply Gap Before Rebalance,Demand Supply Gap After Rebalance,Demand Supply Gap Decrement,Cumulative Demand Supply Gap Decrement
2018-10-01,0,242,242,0,0.0,0.0,0,0,0,0,0.0,139371.5,0.0,0.0,0.0,0,0,0,0
2018-10-01 02:00:00,1,82,324,0,0.0,0.0,0,0,0,0,0.0,144124.0,4752.5,4752.5,4752.5,0,0,0,0
2018-10-01 04:00:00,2,163,487,13,2.3700164953341805,2.3700164953341805,54,54,54,54,0.0,143332.0,-792.0,3960.5,1980.25,0,0,0,0
2018-10-01 06:00:00,3,2304,2791,116,45.63718674997738,48.00720324531154,608,662,608,662,18.0,103344.0,-39988.0,-36027.5,-12009.166666666664,6,2,4,4
2018-10-01 08:00:00,4,7527,10318,100,46.387469328137634,94.39467257344921,507,1169,1014,1676,165.5,76686.5,-26657.5,-62685.0,-15671.25,380,434,-54,-50
2018-10-01 10:00:00,5,2104,12422,114,36.814700944968436,131.20937351841764,303,1472,606,2282,335.2,210172.0,133485.5,70800.5,14160.1,311,75,236,186
2018-10-01 12:00:00,6,2534,14956,63,16.12908448333216,147.3384580017498,109,1581,218,2500,380.33333333333326,210137.0,-35.0,70765.5,11794.25,144,64,80,266
2018-10-01 14:00:00,7,2621,17577,131,46.10991409229845,193.44837209404824,369,1950,738,3238,357.1428571428572,213073.5,2936.5,73702.0,10528.857142857143,126,19,107,373
2018-10-01 16:00:00,8,5741,23318,127,37.431981862427406,230.8803539564757,347,2297,694,3932,404.75,120381.0,-92692.5,-18990.5,-2373.8125,254,150,104,477
2018-10-01 18:00:00,9,6699,30017,13,2.0769219931335896,232.95727594960925,42,2339,84,4016,436.88888888888886,126450.0,6069.0,-12921.5,-1435.7222222222226,353,325,28,505
2018-10-01 20:00:00,10,2128,32145,9,1.76365711003739,234.7209330596466,17,2356,17,4033,401.6,230545.0,104095.0,91173.5,9117.35,68,54,14,519
2018-10-01 22:00:00,11,806,32951,5,1.195604074214667,235.9165371338613,5,2361,5,4038,366.6363636363636,258845.0,28300.0,119473.5,10861.227272727272,29,26,3,522
